start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,15.85,0
2023-12-12,2023-12-18,15.85,0
2023-12-19,2023-12-25,16.0,0
2023-12-26,2024-01-01,16.37,0
2024-01-02,2024-01-08,16.37,0
2024-01-09,2024-01-15,16.37,0
2024-01-16,2024-01-22,15.39,1
2024-01-23,2024-01-29,15.88,1
2024-01-30,2024-02-05,14.91,0
2024-02-06,2024-02-12,14.91,0
2024-02-13,2024-02-19,14.91,0
2024-02-20,2024-02-26,14.43,1
2024-02-27,2024-03-04,14.08,1
2024-03-05,2024-03-11,14.08,0
2024-03-12,2024-03-18,13.8,0
2024-03-19,2024-03-25,13.8,0
2024-03-26,2024-04-01,13.47,1
2024-04-02,2024-04-08,13.47,0
2024-04-09,2024-04-15,13.47,0
2024-04-16,2024-04-22,13.47,0
2024-04-23,2024-04-29,13.16,1
2024-04-30,2024-05-06,13.03,1
2024-05-07,2024-05-13,13.03,0
2024-05-14,2024-05-20,13.03,0
2024-05-21,2024-05-27,13.03,0
2024-05-28,2024-06-03,12.66,0
2024-06-04,2024-06-10,12.61,0
2024-06-11,2024-06-17,12.86,1
2024-06-18,2024-06-24,12.86,0
2024-06-25,2024-07-01,12.86,0
2024-07-02,2024-07-08,12.86,0
2024-07-09,2024-07-15,12.86,1
2024-07-16,2024-07-22,13.03,0
2024-07-23,2024-07-29,12.27,0
2024-07-30,2024-08-05,12.27,0
2024-08-06,2024-08-12,12.27,0
2024-08-13,2024-08-19,12.73,3
2024-08-20,2024-08-26,12.29,1
2024-08-27,2024-09-02,12.07,1
2024-09-03,2024-09-09,12.07,0
2024-09-10,2024-09-16,11.86,1
2024-09-17,2024-09-23,12.03,2
2024-09-24,2024-09-30,12.08,0
2024-10-01,2024-10-07,12.08,0
2024-10-08,2024-10-14,12.08,0
2024-10-15,2024-10-21,12.4,1
2024-10-22,2024-10-28,12.53,0
2024-10-29,2024-11-04,12.58,0
2024-11-05,2024-11-11,12.58,0
2024-11-12,2024-11-18,12.58,0
2024-11-19,2024-11-25,12.89,2
2024-11-26,2024-12-02,13.71,2
