start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,7.06,0
2023-12-12,2023-12-18,7.61,0
2023-12-19,2023-12-25,7.61,0
2023-12-26,2024-01-01,7.66,0
2024-01-02,2024-01-08,7.58,2
2024-01-09,2024-01-15,7.6,0
2024-01-16,2024-01-22,7.55,0
2024-01-23,2024-01-29,7.49,2
2024-01-30,2024-02-05,7.33,1
2024-02-06,2024-02-12,7.32,0
2024-02-13,2024-02-19,7.41,1
2024-02-20,2024-02-26,7.41,0
2024-02-27,2024-03-04,7.08,0
2024-03-05,2024-03-11,7.08,0
2024-03-12,2024-03-18,7.13,2
2024-03-19,2024-03-25,7.08,0
2024-03-26,2024-04-01,7.02,1
2024-04-02,2024-04-08,7.06,1
2024-04-09,2024-04-15,7.03,0
2024-04-16,2024-04-22,7.07,1
2024-04-23,2024-04-29,7.15,1
2024-04-30,2024-05-06,7.16,0
2024-05-07,2024-05-13,7.05,2
2024-05-14,2024-05-20,7.06,0
2024-05-21,2024-05-27,7.09,2
2024-05-28,2024-06-03,6.96,2
2024-06-04,2024-06-10,6.84,1
2024-06-11,2024-06-17,6.84,0
2024-06-18,2024-06-24,6.84,0
2024-06-25,2024-07-01,6.93,1
2024-07-02,2024-07-08,6.9,0
2024-07-09,2024-07-15,6.83,2
2024-07-16,2024-07-22,6.91,1
2024-07-23,2024-07-29,6.85,0
2024-07-30,2024-08-05,6.85,0
2024-08-06,2024-08-12,6.93,6
2024-08-13,2024-08-19,6.84,1
2024-08-20,2024-08-26,6.89,1
2024-08-27,2024-09-02,6.89,1
2024-09-03,2024-09-09,6.81,1
2024-09-10,2024-09-16,6.84,0
2024-09-17,2024-09-23,6.84,1
2024-09-24,2024-09-30,6.83,1
2024-10-01,2024-10-07,6.79,1
2024-10-08,2024-10-14,6.68,2
2024-10-15,2024-10-21,6.68,0
2024-10-22,2024-10-28,6.82,1
2024-10-29,2024-11-04,6.82,1
2024-11-05,2024-11-11,7.03,3
2024-11-12,2024-11-18,7.03,0
2024-11-19,2024-11-25,7.02,2
2024-11-26,2024-12-02,7.06,1
