start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,42.55,1
2023-12-12,2023-12-18,40.34,0
2023-12-19,2023-12-25,39.92,1
2023-12-26,2024-01-01,39.92,0
2024-01-02,2024-01-08,38.92,1
2024-01-09,2024-01-15,40.64,2
2024-01-16,2024-01-22,39.78,0
2024-01-23,2024-01-29,39.65,1
2024-01-30,2024-02-05,39.65,0
2024-02-06,2024-02-12,39.65,0
2024-02-13,2024-02-19,40.54,0
2024-02-20,2024-02-26,39.84,0
2024-02-27,2024-03-04,39.84,0
2024-03-05,2024-03-11,39.84,0
2024-03-12,2024-03-18,39.37,0
2024-03-19,2024-03-25,38.9,1
2024-03-26,2024-04-01,38.89,2
2024-04-02,2024-04-08,38.89,0
2024-04-09,2024-04-15,38.89,0
2024-04-16,2024-04-22,39.77,0
2024-04-23,2024-04-29,39.77,0
2024-04-30,2024-05-06,40.31,0
2024-05-07,2024-05-13,40.23,2
2024-05-14,2024-05-20,41.19,0
2024-05-21,2024-05-27,41.98,0
2024-05-28,2024-06-03,41.98,0
2024-06-04,2024-06-10,43.05,0
2024-06-11,2024-06-17,43.05,0
2024-06-18,2024-06-24,43.35,0
2024-06-25,2024-07-01,43.35,0
2024-07-02,2024-07-08,42.04,2
2024-07-09,2024-07-15,40.18,1
2024-07-16,2024-07-22,40.18,0
2024-07-23,2024-07-29,40.78,0
2024-07-30,2024-08-05,40.78,0
2024-08-06,2024-08-12,40.68,1
2024-08-13,2024-08-19,40.98,1
2024-08-20,2024-08-26,41.68,1
2024-08-27,2024-09-02,41.43,1
2024-09-03,2024-09-09,41.43,0
2024-09-10,2024-09-16,41.43,0
2024-09-17,2024-09-23,42.19,0
2024-09-24,2024-09-30,41.01,1
2024-10-01,2024-10-07,41.01,0
2024-10-08,2024-10-14,41.01,0
2024-10-15,2024-10-21,41.01,0
2024-10-22,2024-10-28,41.01,0
2024-10-29,2024-11-04,41.01,0
2024-11-05,2024-11-11,40.64,0
2024-11-12,2024-11-18,40.64,0
2024-11-19,2024-11-25,40.64,0
2024-11-26,2024-12-02,41.81,2
