start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,11.97,1
2023-12-12,2023-12-18,11.32,1
2023-12-19,2023-12-25,11.31,1
2023-12-26,2024-01-01,11.35,1
2024-01-02,2024-01-08,11.41,1
2024-01-09,2024-01-15,11.37,3
2024-01-16,2024-01-22,11.39,3
2024-01-23,2024-01-29,11.43,2
2024-01-30,2024-02-05,11.5,2
2024-02-06,2024-02-12,11.87,10
2024-02-13,2024-02-19,11.87,1
2024-02-20,2024-02-26,11.86,2
2024-02-27,2024-03-04,11.93,2
2024-03-05,2024-03-11,11.97,3
2024-03-12,2024-03-18,11.89,1
2024-03-19,2024-03-25,11.77,1
2024-03-26,2024-04-01,11.77,0
2024-04-02,2024-04-08,11.9,3
2024-04-09,2024-04-15,11.59,4
2024-04-16,2024-04-22,11.59,0
2024-04-23,2024-04-29,11.6,2
2024-04-30,2024-05-06,11.34,4
2024-05-07,2024-05-13,11.09,5
2024-05-14,2024-05-20,11.09,3
2024-05-21,2024-05-27,10.95,3
2024-05-28,2024-06-03,10.98,1
2024-06-04,2024-06-10,11.3,1
2024-06-11,2024-06-17,11.0,5
2024-06-18,2024-06-24,10.77,2
2024-06-25,2024-07-01,10.75,1
2024-07-02,2024-07-08,10.56,2
2024-07-09,2024-07-15,10.56,1
2024-07-16,2024-07-22,10.5,1
2024-07-23,2024-07-29,10.35,3
2024-07-30,2024-08-05,10.49,1
2024-08-06,2024-08-12,10.48,1
2024-08-13,2024-08-19,10.53,0
2024-08-20,2024-08-26,10.53,0
2024-08-27,2024-09-02,10.52,1
2024-09-03,2024-09-09,10.66,2
2024-09-10,2024-09-16,10.66,0
2024-09-17,2024-09-23,10.84,3
2024-09-24,2024-09-30,10.88,1
2024-10-01,2024-10-07,10.85,3
2024-10-08,2024-10-14,11.2,1
2024-10-15,2024-10-21,11.2,0
2024-10-22,2024-10-28,11.32,1
2024-10-29,2024-11-04,11.36,2
2024-11-05,2024-11-11,11.47,1
2024-11-12,2024-11-18,11.51,1
2024-11-19,2024-11-25,11.53,3
2024-11-26,2024-12-02,11.85,3
