start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,6.13,5
2023-12-10,2023-12-16,6.26,2
2023-12-11,2023-12-17,6.26,1
2023-12-26,2024-01-01,6.32,39
2024-01-02,2024-01-08,6.24,6
2024-01-09,2024-01-15,6.29,29
2024-01-16,2024-01-22,6.35,2
2024-01-23,2024-01-29,6.45,5
2024-01-30,2024-02-05,6.54,24
2024-02-06,2024-02-12,6.71,9
2024-02-13,2024-02-19,6.92,3
2024-02-20,2024-02-26,7.0,9
2024-02-27,2024-03-04,6.94,3
2024-03-05,2024-03-11,6.66,6
2024-03-12,2024-03-18,6.54,2
2024-03-19,2024-03-25,6.13,7
2024-03-26,2024-04-01,6.08,5
2024-04-02,2024-04-08,6.07,13
2024-04-09,2024-04-15,5.68,5
2024-04-16,2024-04-22,5.37,23
2024-04-23,2024-04-29,5.89,14
2024-04-30,2024-05-06,6.25,8
2024-05-07,2024-05-13,6.47,9
2024-05-14,2024-05-20,6.56,5
2024-05-21,2024-05-27,6.57,3
2024-05-28,2024-06-03,6.24,10
2024-06-04,2024-06-10,6.05,28
2024-06-11,2024-06-17,6.28,14
2024-06-18,2024-06-24,6.3,1
2024-06-25,2024-07-01,6.09,8
2024-07-02,2024-07-08,5.96,15
2024-07-09,2024-07-15,6.04,13
2024-07-16,2024-07-22,6.19,4
2024-07-23,2024-07-29,6.14,3
2024-07-30,2024-08-05,6.46,5
2024-08-06,2024-08-12,6.51,4
2024-08-13,2024-08-19,6.32,8
2024-08-20,2024-08-26,5.73,20
2024-08-27,2024-09-02,6.13,26
2024-09-03,2024-09-09,6.22,18
2024-09-10,2024-09-16,6.18,9
2024-09-17,2024-09-23,6.3,15
2024-09-24,2024-09-30,6.36,10
2024-10-01,2024-10-07,6.49,13
2024-10-08,2024-10-14,6.5,16
2024-10-15,2024-10-21,6.36,7
2024-10-22,2024-10-28,6.23,15
2024-10-29,2024-11-04,6.32,11
2024-11-05,2024-11-11,6.22,6
2024-11-12,2024-11-18,6.33,2
2024-11-19,2024-11-25,6.32,10
2024-11-26,2024-12-02,6.23,6
