start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,5.48,0
2023-12-12,2023-12-18,4.86,1
2023-12-19,2023-12-25,4.86,0
2023-12-26,2024-01-01,4.82,1
2024-01-02,2024-01-08,4.69,2
2024-01-09,2024-01-15,4.69,0
2024-01-16,2024-01-22,4.75,1
2024-01-23,2024-01-29,4.74,1
2024-01-30,2024-02-05,4.74,0
2024-02-06,2024-02-12,4.74,1
2024-02-13,2024-02-19,4.69,2
2024-02-20,2024-02-26,4.69,0
2024-02-27,2024-03-04,4.69,1
2024-03-05,2024-03-11,4.55,5
2024-03-12,2024-03-18,4.53,2
2024-03-19,2024-03-25,4.53,0
2024-03-26,2024-04-01,4.41,1
2024-04-02,2024-04-08,4.41,1
2024-04-09,2024-04-15,4.4,1
2024-04-16,2024-04-22,4.4,0
2024-04-23,2024-04-29,4.46,1
2024-04-30,2024-05-06,4.44,1
2024-05-07,2024-05-13,4.44,2
2024-05-14,2024-05-20,4.5,3
2024-05-21,2024-05-27,4.61,2
2024-05-28,2024-06-03,4.61,3
2024-06-04,2024-06-10,4.61,0
2024-06-11,2024-06-17,5.14,6
2024-06-18,2024-06-24,5.23,2
2024-06-25,2024-07-01,5.28,1
2024-07-02,2024-07-08,5.29,1
2024-07-09,2024-07-15,5.25,4
2024-07-16,2024-07-22,5.28,1
2024-07-23,2024-07-29,5.26,1
2024-07-30,2024-08-05,5.28,1
2024-08-06,2024-08-12,5.25,2
2024-08-13,2024-08-19,5.24,1
2024-08-20,2024-08-26,5.35,3
2024-08-27,2024-09-02,5.36,1
2024-09-03,2024-09-09,5.38,3
2024-09-10,2024-09-16,5.37,1
2024-09-17,2024-09-23,5.32,2
2024-09-24,2024-09-30,5.2,3
2024-10-01,2024-10-07,5.27,2
2024-10-08,2024-10-14,5.27,0
2024-10-15,2024-10-21,5.27,0
2024-10-22,2024-10-28,5.27,0
2024-10-29,2024-11-04,5.33,3
2024-11-05,2024-11-11,5.35,1
2024-11-12,2024-11-18,5.39,1
2024-11-19,2024-11-25,5.48,3
2024-11-26,2024-12-02,5.48,0
