start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,7.74,0
2023-12-12,2023-12-18,7.86,0
2023-12-19,2023-12-25,7.91,2
2023-12-26,2024-01-01,8.07,0
2024-01-02,2024-01-08,8.07,0
2024-01-09,2024-01-15,8.07,0
2024-01-16,2024-01-22,8.31,0
2024-01-23,2024-01-29,8.31,0
2024-01-30,2024-02-05,8.38,1
2024-02-06,2024-02-12,6.92,2
2024-02-13,2024-02-19,6.92,0
2024-02-20,2024-02-26,7.72,5
2024-02-27,2024-03-04,7.62,0
2024-03-05,2024-03-11,7.62,0
2024-03-12,2024-03-18,7.75,1
2024-03-19,2024-03-25,7.75,0
2024-03-26,2024-04-01,8.1,1
2024-04-02,2024-04-08,8.1,0
2024-04-09,2024-04-15,8.1,0
2024-04-16,2024-04-22,8.1,0
2024-04-23,2024-04-29,8.1,0
2024-04-30,2024-05-06,8.17,1
2024-05-07,2024-05-13,8.21,2
2024-05-14,2024-05-20,8.27,1
2024-05-21,2024-05-27,8.27,0
2024-05-28,2024-06-03,8.0,0
2024-06-04,2024-06-10,8.27,0
2024-06-11,2024-06-17,8.27,0
2024-06-18,2024-06-24,8.31,0
2024-06-25,2024-07-01,8.31,0
2024-07-02,2024-07-08,8.31,1
2024-07-09,2024-07-15,8.31,0
2024-07-16,2024-07-22,8.31,0
2024-07-23,2024-07-29,8.31,1
2024-07-30,2024-08-05,8.29,0
2024-08-06,2024-08-12,9.0,0
2024-08-13,2024-08-19,9.0,0
2024-08-20,2024-08-26,9.16,0
2024-08-27,2024-09-02,9.07,1
2024-09-03,2024-09-09,9.07,0
2024-09-10,2024-09-16,9.08,0
2024-09-17,2024-09-23,9.09,1
2024-09-24,2024-09-30,8.76,1
2024-10-01,2024-10-07,8.76,0
2024-10-08,2024-10-14,8.76,0
2024-10-15,2024-10-21,8.76,0
2024-10-22,2024-10-28,8.76,0
2024-10-29,2024-11-04,8.74,0
2024-11-05,2024-11-11,8.82,0
2024-11-12,2024-11-18,8.68,1
2024-11-19,2024-11-25,8.59,1
2024-11-26,2024-12-02,8.64,1
