start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,9.05,0
2023-12-12,2023-12-18,9.05,0
2023-12-19,2023-12-25,9.05,0
2023-12-26,2024-01-01,9.09,1
2024-01-02,2024-01-08,9.09,0
2024-01-09,2024-01-15,9.09,0
2024-01-16,2024-01-22,9.09,0
2024-01-23,2024-01-29,9.09,0
2024-01-30,2024-02-05,9.74,2
2024-02-06,2024-02-12,9.74,0
2024-02-13,2024-02-19,9.74,0
2024-02-20,2024-02-26,9.74,0
2024-02-27,2024-03-04,9.74,0
2024-03-05,2024-03-11,9.74,0
2024-03-12,2024-03-18,9.74,0
2024-03-19,2024-03-25,9.69,0
2024-03-26,2024-04-01,9.39,0
2024-04-02,2024-04-08,9.39,0
2024-04-09,2024-04-15,9.39,0
2024-04-16,2024-04-22,9.55,0
2024-04-23,2024-04-29,9.3,1
2024-04-30,2024-05-06,9.3,0
2024-05-07,2024-05-13,9.3,0
2024-05-14,2024-05-20,9.3,0
2024-05-21,2024-05-27,9.18,1
2024-05-28,2024-06-03,9.18,0
2024-06-04,2024-06-10,9.18,0
2024-06-11,2024-06-17,9.18,0
2024-06-18,2024-06-24,9.18,0
2024-06-25,2024-07-01,8.52,1
2024-07-02,2024-07-08,8.43,1
2024-07-09,2024-07-15,8.43,0
2024-07-16,2024-07-22,8.43,0
2024-07-23,2024-07-29,8.43,0
2024-07-30,2024-08-05,7.67,0
2024-08-06,2024-08-12,7.53,1
2024-08-13,2024-08-19,7.53,0
2024-08-20,2024-08-26,7.94,1
2024-08-27,2024-09-02,7.65,1
2024-09-03,2024-09-09,7.29,2
2024-09-10,2024-09-16,7.29,0
2024-09-17,2024-09-23,7.16,1
2024-09-24,2024-09-30,7.16,0
2024-10-01,2024-10-07,7.16,0
2024-10-08,2024-10-14,7.16,0
2024-10-15,2024-10-21,7.16,0
2024-10-22,2024-10-28,7.03,1
2024-10-29,2024-11-04,7.03,0
2024-11-05,2024-11-11,7.03,0
2024-11-12,2024-11-18,7.03,0
2024-11-19,2024-11-25,6.91,2
2024-11-26,2024-12-02,6.91,0
