start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,63.01,0
2023-12-12,2023-12-18,63.01,0
2023-12-19,2023-12-25,63.01,0
2023-12-26,2024-01-01,63.01,0
2024-01-02,2024-01-08,63.01,0
2024-01-09,2024-01-15,63.01,0
2024-01-16,2024-01-22,63.01,0
2024-01-23,2024-01-29,63.01,0
2024-01-30,2024-02-05,63.01,0
2024-02-06,2024-02-12,63.01,0
2024-02-13,2024-02-19,63.01,0
2024-02-20,2024-02-26,63.01,0
2024-02-27,2024-03-04,63.01,0
2024-03-05,2024-03-11,63.01,0
2024-03-12,2024-03-18,63.01,0
2024-03-19,2024-03-25,63.01,0
2024-03-26,2024-04-01,63.01,0
2024-04-02,2024-04-08,63.01,0
2024-04-09,2024-04-15,63.01,0
2024-04-16,2024-04-22,63.01,0
2024-04-23,2024-04-29,63.01,0
2024-04-30,2024-05-06,63.01,0
2024-05-07,2024-05-13,63.01,0
2024-05-14,2024-05-20,63.01,0
2024-05-21,2024-05-27,63.01,0
2024-05-28,2024-06-03,63.01,0
2024-06-04,2024-06-10,63.01,0
2024-06-11,2024-06-17,41.5,1
2024-06-18,2024-06-24,52.26,1
2024-06-25,2024-07-01,56.15,1
2024-07-02,2024-07-08,56.15,0
2024-07-09,2024-07-15,56.15,0
2024-07-16,2024-07-22,56.15,0
2024-07-23,2024-07-29,56.15,0
2024-07-30,2024-08-05,56.15,0
2024-08-06,2024-08-12,56.15,0
2024-08-13,2024-08-19,56.15,0
2024-08-20,2024-08-26,56.15,0
2024-08-27,2024-09-02,56.15,0
2024-09-03,2024-09-09,56.15,1
2024-09-10,2024-09-16,56.15,0
2024-09-17,2024-09-23,56.15,0
2024-09-24,2024-09-30,56.15,0
2024-10-01,2024-10-07,56.15,1
2024-10-08,2024-10-14,58.46,1
2024-10-15,2024-10-21,58.46,0
2024-10-22,2024-10-28,58.46,0
2024-10-29,2024-11-04,58.46,0
2024-11-05,2024-11-11,58.46,0
2024-11-12,2024-11-18,58.46,0
2024-11-19,2024-11-25,58.46,0
2024-11-26,2024-12-02,58.46,0
