start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,31.8,0
2023-12-12,2023-12-18,20.02,0
2023-12-19,2023-12-25,20.02,0
2023-12-26,2024-01-01,20.02,0
2024-01-02,2024-01-08,20.02,0
2024-01-09,2024-01-15,20.02,0
2024-01-16,2024-01-22,20.02,0
2024-01-23,2024-01-29,20.02,0
2024-01-30,2024-02-05,20.02,0
2024-02-06,2024-02-12,20.02,0
2024-02-13,2024-02-19,20.02,0
2024-02-20,2024-02-26,21.78,0
2024-02-27,2024-03-04,23.39,1
2024-03-05,2024-03-11,23.39,0
2024-03-12,2024-03-18,23.39,1
2024-03-19,2024-03-25,23.39,0
2024-03-26,2024-04-01,23.39,0
2024-04-02,2024-04-08,23.79,1
2024-04-09,2024-04-15,23.79,0
2024-04-16,2024-04-22,24.03,1
2024-04-23,2024-04-29,24.03,0
2024-04-30,2024-05-06,24.59,0
2024-05-07,2024-05-13,26.47,1
2024-05-14,2024-05-20,26.47,0
2024-05-21,2024-05-27,26.47,0
2024-05-28,2024-06-03,26.47,0
2024-06-04,2024-06-10,26.47,0
2024-06-11,2024-06-17,26.47,0
2024-06-18,2024-06-24,26.4,1
2024-06-25,2024-07-01,26.4,0
2024-07-02,2024-07-08,26.4,0
2024-07-09,2024-07-15,26.4,0
2024-07-16,2024-07-22,26.4,0
2024-07-23,2024-07-29,26.4,0
2024-07-30,2024-08-05,26.4,0
2024-08-06,2024-08-12,26.4,0
2024-08-13,2024-08-19,26.4,0
2024-08-20,2024-08-26,26.4,0
2024-08-27,2024-09-02,26.68,0
2024-09-03,2024-09-09,26.68,0
2024-09-10,2024-09-16,27.5,0
2024-09-17,2024-09-23,27.5,0
2024-09-24,2024-09-30,29.4,1
2024-10-01,2024-10-07,30.51,0
2024-10-08,2024-10-14,30.51,0
2024-10-15,2024-10-21,32.35,0
2024-10-22,2024-10-28,32.35,0
2024-10-29,2024-11-04,32.35,0
2024-11-05,2024-11-11,31.8,1
2024-11-12,2024-11-18,31.8,0
2024-11-19,2024-11-25,31.8,0
2024-11-26,2024-12-02,31.8,0
