start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,44.25,0
2023-12-12,2023-12-18,45.24,1
2023-12-19,2023-12-25,45.24,0
2023-12-26,2024-01-01,45.24,0
2024-01-02,2024-01-08,45.24,0
2024-01-09,2024-01-15,45.24,0
2024-01-16,2024-01-22,45.24,0
2024-01-23,2024-01-29,45.24,0
2024-01-30,2024-02-05,45.24,0
2024-02-06,2024-02-12,45.24,0
2024-02-13,2024-02-19,45.05,0
2024-02-20,2024-02-26,45.88,1
2024-02-27,2024-03-04,45.6,0
2024-03-05,2024-03-11,45.6,0
2024-03-12,2024-03-18,45.6,0
2024-03-19,2024-03-25,45.6,0
2024-03-26,2024-04-01,50.01,1
2024-04-02,2024-04-08,50.01,0
2024-04-09,2024-04-15,52.02,0
2024-04-16,2024-04-22,55.36,0
2024-04-23,2024-04-29,55.36,0
2024-04-30,2024-05-06,55.36,1
2024-05-07,2024-05-13,55.36,0
2024-05-14,2024-05-20,55.36,0
2024-05-21,2024-05-27,51.26,0
2024-05-28,2024-06-03,51.26,0
2024-06-04,2024-06-10,51.26,0
2024-06-11,2024-06-17,52.28,0
2024-06-18,2024-06-24,52.28,0
2024-06-25,2024-07-01,52.28,0
2024-07-02,2024-07-08,52.28,0
2024-07-09,2024-07-15,52.28,0
2024-07-16,2024-07-22,52.28,0
2024-07-23,2024-07-29,52.28,0
2024-07-30,2024-08-05,52.28,0
2024-08-06,2024-08-12,52.28,0
2024-08-13,2024-08-19,52.28,0
2024-08-20,2024-08-26,55.92,1
2024-08-27,2024-09-02,55.92,0
2024-09-03,2024-09-09,55.92,0
2024-09-10,2024-09-16,56.27,1
2024-09-17,2024-09-23,56.27,0
2024-09-24,2024-09-30,56.27,0
2024-10-01,2024-10-07,56.27,0
2024-10-08,2024-10-14,56.27,0
2024-10-15,2024-10-21,56.27,0
2024-10-22,2024-10-28,56.27,0
2024-10-29,2024-11-04,56.72,0
2024-11-05,2024-11-11,56.72,0
2024-11-12,2024-11-18,56.72,0
2024-11-19,2024-11-25,57.47,1
2024-11-26,2024-12-02,57.47,0
