start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,49.8,0
2023-12-12,2023-12-18,49.8,0
2023-12-19,2023-12-25,49.8,0
2023-12-26,2024-01-01,49.1,1
2024-01-02,2024-01-08,49.1,0
2024-01-09,2024-01-15,49.1,0
2024-01-16,2024-01-22,48.81,0
2024-01-23,2024-01-29,48.81,0
2024-01-30,2024-02-05,47.31,1
2024-02-06,2024-02-12,47.31,0
2024-02-13,2024-02-19,47.31,0
2024-02-20,2024-02-26,47.31,0
2024-02-27,2024-03-04,47.23,1
2024-03-05,2024-03-11,47.23,0
2024-03-12,2024-03-18,47.23,0
2024-03-19,2024-03-25,47.23,0
2024-03-26,2024-04-01,47.23,0
2024-04-02,2024-04-08,47.23,0
2024-04-09,2024-04-15,47.23,0
2024-04-16,2024-04-22,47.23,0
2024-04-23,2024-04-29,47.23,0
2024-04-30,2024-05-06,46.33,0
2024-05-07,2024-05-13,45.24,0
2024-05-14,2024-05-20,46.33,0
2024-05-21,2024-05-27,46.33,0
2024-05-28,2024-06-03,46.33,0
2024-06-04,2024-06-10,46.33,0
2024-06-11,2024-06-17,46.33,0
2024-06-18,2024-06-24,46.0,0
2024-06-25,2024-07-01,46.0,0
2024-07-02,2024-07-08,46.0,0
2024-07-09,2024-07-15,46.0,0
2024-07-16,2024-07-22,46.0,0
2024-07-23,2024-07-29,46.0,0
2024-07-30,2024-08-05,46.99,0
2024-08-06,2024-08-12,46.99,0
2024-08-13,2024-08-19,46.99,0
2024-08-20,2024-08-26,53.48,1
2024-08-27,2024-09-02,59.97,0
2024-09-03,2024-09-09,59.97,0
2024-09-10,2024-09-16,59.97,0
2024-09-17,2024-09-23,59.97,0
2024-09-24,2024-09-30,59.97,0
2024-10-01,2024-10-07,59.97,0
2024-10-08,2024-10-14,59.97,0
2024-10-15,2024-10-21,53.48,0
2024-10-22,2024-10-28,53.48,0
2024-10-29,2024-11-04,53.48,0
2024-11-05,2024-11-11,59.97,0
2024-11-12,2024-11-18,59.97,0
2024-11-19,2024-11-25,59.97,0
2024-11-26,2024-12-02,59.97,0
