start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,35.0,0
2023-12-12,2023-12-18,35.0,0
2023-12-19,2023-12-25,35.0,0
2023-12-26,2024-01-01,35.0,0
2024-01-02,2024-01-08,35.0,0
2024-01-09,2024-01-15,35.0,0
2024-01-16,2024-01-22,49.98,1
2024-01-23,2024-01-29,49.98,0
2024-01-30,2024-02-05,49.98,0
2024-02-06,2024-02-12,49.98,0
2024-02-13,2024-02-19,49.98,0
2024-02-20,2024-02-26,49.98,0
2024-02-27,2024-03-04,49.98,0
2024-03-05,2024-03-11,49.98,0
2024-03-12,2024-03-18,49.98,0
2024-03-19,2024-03-25,49.98,0
2024-03-26,2024-04-01,49.98,0
2024-04-02,2024-04-08,49.98,0
2024-04-09,2024-04-15,49.98,0
2024-04-16,2024-04-22,49.98,0
2024-04-23,2024-04-29,49.98,0
2024-04-30,2024-05-06,49.98,0
2024-05-07,2024-05-13,49.98,0
2024-05-14,2024-05-20,49.98,0
2024-05-21,2024-05-27,49.98,0
2024-05-28,2024-06-03,49.98,0
2024-06-04,2024-06-10,49.98,0
2024-06-11,2024-06-17,49.98,0
2024-06-18,2024-06-24,49.98,0
2024-06-25,2024-07-01,49.98,0
2024-07-02,2024-07-08,49.98,0
2024-07-09,2024-07-15,49.98,0
2024-07-16,2024-07-22,49.98,0
2024-07-23,2024-07-29,49.98,0
2024-07-30,2024-08-05,47.99,1
2024-08-06,2024-08-12,47.99,0
2024-08-13,2024-08-19,47.99,0
2024-08-20,2024-08-26,47.99,0
2024-08-27,2024-09-02,47.99,0
2024-09-03,2024-09-09,47.99,0
2024-09-10,2024-09-16,47.99,0
2024-09-17,2024-09-23,47.99,0
2024-09-24,2024-09-30,56.49,1
2024-10-01,2024-10-07,60.86,1
2024-10-08,2024-10-14,60.86,0
2024-10-15,2024-10-21,60.86,0
2024-10-22,2024-10-28,60.86,0
2024-10-29,2024-11-04,60.86,0
2024-11-05,2024-11-11,60.86,0
2024-11-12,2024-11-18,60.86,0
2024-11-19,2024-11-25,60.86,0
2024-11-26,2024-12-02,64.39,1
