start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,5.47,0
2023-12-12,2023-12-18,5.47,0
2023-12-19,2023-12-25,5.47,0
2023-12-26,2024-01-01,5.36,0
2024-01-02,2024-01-08,5.79,2
2024-01-09,2024-01-15,5.79,0
2024-01-16,2024-01-22,5.79,0
2024-01-23,2024-01-29,5.79,0
2024-01-30,2024-02-05,5.79,0
2024-02-06,2024-02-12,5.79,0
2024-02-13,2024-02-19,5.73,1
2024-02-20,2024-02-26,5.72,1
2024-02-27,2024-03-04,5.72,0
2024-03-05,2024-03-11,5.72,0
2024-03-12,2024-03-18,5.72,0
2024-03-19,2024-03-25,5.72,0
2024-03-26,2024-04-01,5.72,0
2024-04-02,2024-04-08,5.72,0
2024-04-09,2024-04-15,5.72,0
2024-04-16,2024-04-22,5.72,0
2024-04-23,2024-04-29,5.72,0
2024-04-30,2024-05-06,5.72,0
2024-05-07,2024-05-13,5.72,0
2024-05-14,2024-05-20,5.9,0
2024-05-21,2024-05-27,5.9,0
2024-05-28,2024-06-03,5.9,0
2024-06-04,2024-06-10,5.9,0
2024-06-11,2024-06-17,5.62,1
2024-06-18,2024-06-24,5.62,0
2024-06-25,2024-07-01,5.62,0
2024-07-02,2024-07-08,5.21,0
2024-07-09,2024-07-15,5.21,0
2024-07-16,2024-07-22,5.21,0
2024-07-23,2024-07-29,5.21,0
2024-07-30,2024-08-05,5.21,0
2024-08-06,2024-08-12,6.03,0
2024-08-13,2024-08-19,6.21,0
2024-08-20,2024-08-26,6.5,0
2024-08-27,2024-09-02,6.49,2
2024-09-03,2024-09-09,6.49,0
2024-09-10,2024-09-16,6.49,0
2024-09-17,2024-09-23,6.49,0
2024-09-24,2024-09-30,6.49,0
2024-10-01,2024-10-07,6.07,0
2024-10-08,2024-10-14,6.49,0
2024-10-15,2024-10-21,6.49,0
2024-10-22,2024-10-28,7.12,1
2024-10-29,2024-11-04,7.12,0
2024-11-05,2024-11-11,7.12,0
2024-11-12,2024-11-18,7.12,0
2024-11-19,2024-11-25,7.12,0
2024-11-26,2024-12-02,6.26,1
