start_date,end_date,price,quantity_sold
2023-12-02,2023-12-08,25.29,1
2023-12-12,2023-12-18,0.0,0
2023-12-19,2023-12-25,0.0,0
2023-12-26,2024-01-01,0.0,0
2024-01-02,2024-01-08,0.0,0
2024-01-09,2024-01-15,0.0,0
2024-01-16,2024-01-22,0.0,0
2024-01-23,2024-01-29,0.0,0
2024-01-30,2024-02-05,0.0,0
2024-02-06,2024-02-12,0.0,0
2024-02-13,2024-02-19,0.0,0
2024-02-20,2024-02-26,0.0,0
2024-02-27,2024-03-04,0.0,0
2024-03-05,2024-03-11,0.0,0
2024-03-12,2024-03-18,0.0,0
2024-03-19,2024-03-25,23.0,1
2024-03-26,2024-04-01,21.0,1
2024-04-02,2024-04-08,21.0,0
2024-04-09,2024-04-15,21.0,0
2024-04-16,2024-04-22,21.0,0
2024-04-23,2024-04-29,20.64,2
2024-04-30,2024-05-06,20.64,0
2024-05-07,2024-05-13,20.64,0
2024-05-14,2024-05-20,20.64,0
2024-05-21,2024-05-27,20.64,0
2024-05-28,2024-06-03,20.51,1
2024-06-04,2024-06-10,20.51,0
2024-06-11,2024-06-17,20.51,0
2024-06-18,2024-06-24,20.43,1
2024-06-25,2024-07-01,20.43,0
2024-07-02,2024-07-08,20.65,1
2024-07-09,2024-07-15,20.65,0
2024-07-16,2024-07-22,20.65,0
2024-07-23,2024-07-29,20.65,0
2024-07-30,2024-08-05,20.65,0
2024-08-06,2024-08-12,20.65,0
2024-08-13,2024-08-19,20.65,0
2024-08-20,2024-08-26,20.76,1
2024-08-27,2024-09-02,20.76,0
2024-09-03,2024-09-09,20.76,0
2024-09-10,2024-09-16,20.76,0
2024-09-17,2024-09-23,20.44,0
2024-09-24,2024-09-30,20.68,0
2024-10-01,2024-10-07,20.68,0
2024-10-08,2024-10-14,20.68,0
2024-10-15,2024-10-21,20.68,0
2024-10-22,2024-10-28,20.87,0
2024-10-29,2024-11-04,21.29,1
2024-11-05,2024-11-11,21.29,0
2024-11-12,2024-11-18,21.29,0
2024-11-19,2024-11-25,21.29,0
2024-11-26,2024-12-02,25.29,1
