start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,88.44,0
2023-12-12,2023-12-18,88.44,0
2023-12-19,2023-12-25,88.44,0
2023-12-26,2024-01-01,88.44,0
2024-01-02,2024-01-08,84.58,0
2024-01-09,2024-01-15,84.58,0
2024-01-16,2024-01-22,84.58,0
2024-01-23,2024-01-29,84.58,0
2024-01-30,2024-02-05,84.58,0
2024-02-06,2024-02-12,84.58,0
2024-02-13,2024-02-19,84.58,0
2024-02-20,2024-02-26,84.58,0
2024-02-27,2024-03-04,84.58,0
2024-03-05,2024-03-11,84.58,0
2024-03-12,2024-03-18,84.58,0
2024-03-19,2024-03-25,86.88,0
2024-03-26,2024-04-01,86.88,0
2024-04-02,2024-04-08,86.88,0
2024-04-09,2024-04-15,86.88,0
2024-04-16,2024-04-22,86.88,0
2024-04-23,2024-04-29,86.88,0
2024-04-30,2024-05-06,86.88,0
2024-05-07,2024-05-13,88.43,0
2024-05-14,2024-05-20,88.43,0
2024-05-21,2024-05-27,88.43,0
2024-05-28,2024-06-03,88.43,0
2024-06-04,2024-06-10,88.43,0
2024-06-11,2024-06-17,85.43,1
2024-06-18,2024-06-24,85.43,0
2024-06-25,2024-07-01,85.43,0
2024-07-02,2024-07-08,85.43,0
2024-07-09,2024-07-15,85.43,0
2024-07-16,2024-07-22,85.43,0
2024-07-23,2024-07-29,85.43,0
2024-07-30,2024-08-05,85.43,0
2024-08-06,2024-08-12,85.43,0
2024-08-13,2024-08-19,85.43,0
2024-08-20,2024-08-26,85.43,0
2024-08-27,2024-09-02,85.43,0
2024-09-03,2024-09-09,85.43,0
2024-09-10,2024-09-16,85.92,1
2024-09-17,2024-09-23,85.92,0
2024-09-24,2024-09-30,85.92,0
2024-10-01,2024-10-07,85.92,0
2024-10-08,2024-10-14,85.76,1
2024-10-15,2024-10-21,85.76,0
2024-10-22,2024-10-28,85.76,0
2024-10-29,2024-11-04,85.76,0
2024-11-05,2024-11-11,85.76,0
2024-11-12,2024-11-18,85.76,0
2024-11-19,2024-11-25,85.76,0
2024-11-26,2024-12-02,85.76,0
